topic,sub_topic,risk_factor,question,instruction
Climate science,Permanence,H/Corg Ratio Compliance,"Does the project measure the H/Corg ratio using recognized protocols (e.g., CHNS/O analysis, EBC or IBI guidelines)?","Look for: Measurement logs in project documentation, references to recognized lab standards (EBC, IBI), and mention of equipment or lab certifications | If absent/vague: Check if only partial references are included (e.g., 'we tested biochar' without details) or if the project only claims compliance verbally | Assess: If protocols are not specified or standards are absent, data reliability is low and the project may risk failing recognized stability thresholds."
Climate science,Permanence,H/Corg Ratio Compliance,Are reported H/Corg values consistently below 0.7 across multiple production batches?,"Look for: Multiple test results in audit reports showing H/Corg values < 0.7 with clear batch sampling information | If absent/vague: Check if only one test is provided or if batch variability is not mentioned | Assess: Inconsistent or high H/Corg values indicate potential instability, reducing confidence in long-term permanence."
Climate science,Permanence,H/Corg Ratio Compliance,Does the project use accredited third-party laboratories to validate the H/Corg ratio?,"Look for: Explicit documentation of lab accreditation (e.g., ISO 17025) and third-party verification in certification reports | If absent/vague: Check if the project relies solely on internal testing with no external validation | Assess: Third-party validation increases credibility, whereas self-reported data raises uncertainty."
Climate science,Permanence,H/Corg Ratio Compliance,How does the project address any out-of-range H/Corg values or incomplete ratio measurements?,"Look for: Evidence of corrective actions such as process adjustments, re-testing protocols, or documented plans for discarding off-spec batches | If absent/vague: Check if there is only an ideal ratio mentioned without discussing deviations | Assess: A lack of corrective action indicates risk in maintaining consistent biochar quality."
Climate science,Permanence,Pyrolysis Temperature Compliance,What pyrolysis temperature range (≥550°C recommended) is targeted to ensure stable biochar with low volatile content?,"Look for: Project documentation specifying operating temperatures (ideally 550–700°C), with references to best-practice guidelines | If absent/vague: Check if the project only generically mentions 'high temperature' without numeric details | Assess: Operating below ~550°C can yield unstable biochar, so clear temperature data is essential."
Climate science,Permanence,Pyrolysis Temperature Compliance,Does the project provide temperature data logs or real-time monitoring across different production batches?,"Look for: Automated system outputs (e.g., thermocouple logs) or documented temperature records with batch IDs | If absent/vague: Check if only a single snapshot or generic statement is provided | Assess: Consistent temperature records across batches are critical for quality control; sporadic data increases risk."
Climate science,Permanence,Pyrolysis Temperature Compliance,"Which pyrolysis technology is employed, and does it reliably achieve high-temperature operation?","Look for: Detailed technical descriptions naming the reactor type (e.g., slow pyrolysis, gasification) and any manufacturer references | If absent/vague: Check if the technology is only mentioned in passing without performance data | Assess: Established high-temperature systems provide more stable biochar; vague descriptions increase uncertainty."
Climate science,Permanence,Pyrolysis Temperature Compliance,How does the project handle process control if temperatures drop below the target range?,"Look for: Standard operating procedures (SOPs), alarm triggers, or documented adjustments in audit reports | If absent/vague: Check if the project only states that it maintains high temperatures without details | Assess: Lack of process control increases the risk of producing low-quality, unstable biochar."
Climate science,Permanence,Testing & Verification of Stability,"Does the project test additional stability parameters (volatile matter, fixed carbon) beyond the H/Corg ratio?","Look for: Lab results in audit reports detailing proximate/ultimate analyses, including volatile matter and fixed carbon percentages | If absent/vague: Check if only H/Corg values are provided | Assess: Multiple stability metrics enhance confidence in the biochar’s permanence."
Climate science,Permanence,Testing & Verification of Stability,Are multiple samples from different production batches tested for consistency in stability indicators?,Look for: Sampling protocols with results per batch in certification reports or technical annexes | If absent/vague: Check if only one-time test results are given without batch data | Assess: Consistency across batches indicates robust quality control; isolated tests suggest higher risk.
