topic,sub_topic,risk_factor,question,instruction
Additionality,Financial analysis,Investment analysis,"Is there any form of financial model (e.g., IRR, ROI, or payback period) demonstrating how carbon credit revenues affect overall project profitability or viability?","Look for: • An explicit mention of IRR, ROI, net present value (NPV), or payback period in the project documentation. • Any statement that “carbon credits are crucial/vital/essential” for the project’s continuation or profitability. If absent/vague: • Seek indirect references (e.g., mention of covering ongoing costs or bridging funding gaps). • Note if the auditor or project summary highlights reliance on carbon finance in broad terms. Assess: • If the project clearly states it would not go forward without carbon credit revenue, that strongly supports additionality. • If the model is absent, check for any other signals (e.g., references to inability to secure funding otherwise)."
Additionality,Financial analysis,Investment analysis,"Which key assumptions (e.g., CAPEX, OPEX, discount rate, feedstock costs, carbon price) feed into the project’s financial model or profitability rationale, and how are they substantiated?","Look for: • Specific numeric assumptions: CAPEX, OPEX, discount rates, carbon price forecasts. • Any supporting evidence (e.g., quotations, industry benchmarks, third-party data) or auditor commentary on these assumptions. If absent/vague: • Look for qualitative statements on cost drivers, technology complexity, or references to external data sources. Assess: • Realism of assumptions given known industry norms, location, or technology. • Whether assumptions could significantly alter viability if they are off by modest amounts."
Additionality,Financial analysis,Investment analysis,"Does the project include a sensitivity or scenario analysis to show how changes in key inputs (e.g., ±10–20% in CAPEX, carbon price) would impact IRR or profitability?","Look for: • A separate section or table demonstrating how IRR/NPV changes when CAPEX, carbon price, or OPEX deviate from the base assumptions. • Auditor commentary confirming the project remains viable only within a specific range of values. If absent/vague: • Look for statements like “moderate increases in CAPEX would jeopardize feasibility” or “carbon price below $X would make the project infeasible.” Assess: • How robust or fragile the project’s financial model is to changes in critical parameters. • Whether the sensitivity analysis (or references to it) is thorough and credible."
Additionality,Financial analysis,Investment analysis,"Are the benchmarks or thresholds (e.g., IRR benchmarks, hurdle rates) used to demonstrate additionality appropriate for the technology type and region?","Look for: • Direct references to industry or regional benchmarks for profitability (e.g., typical IRR for similar biochar or engineered carbon removal projects). • Justifications for the chosen benchmarks (e.g., project location, cost of capital, policy environment). If absent/vague: • Seek any mention of “industry standard,” “market norm,” or “typical cost of capital.” Assess: • If the benchmarks are too high/low compared to known figures in the sector, question whether they have been artificially selected to prove or disprove additionality."
Additionality,Financial analysis,Investment analysis,"Does the project quantify and justify its high capital expenditures (CAPEX), and do those expenditures align with typical ranges for similar technologies or project scales?","Look for: • Itemized CAPEX (technology, infrastructure, permitting, etc.) or aggregated figures referencing complexity of the value chain. • Comparisons to known cost ranges (from peer-reviewed sources, industry data, or government databases). If absent/vague: • Look for qualitative statements about “substantial upfront costs,” “nascent technology,” or “lack of cost reduction potential in the near term.” Assess: • Whether the stated CAPEX is credible for the technology/region and whether it genuinely poses a barrier without carbon finance."
Additionality,Financial analysis,Investment analysis,"How do additional financing streams (e.g., climate finance, grants, subsidies) factor into the project’s financial model, and do they undermine or reinforce the project’s claim of additionality?","Look for: • Mention of other forms of public or private support, such as grants, concessionary loans, or policy incentives. • Auditor statements about the proportion of total costs covered by these streams. If absent/vague: • Look for indirect signals (e.g., references to “multiple funding partners” or “government support”). Assess: • Whether these streams significantly reduce the project’s reliance on carbon revenues; multiple funding sources do not necessarily negate additionality if high CAPEX or OPEX remain."
Additionality,Financial analysis,Investment analysis,"Are there disclaimers, data gaps, or uncertainties noted by auditors that may limit confidence in the project’s financial analysis?","Look for: • Auditor disclaimers about insufficient data, unvalidated cost estimates, or incomplete financial information. • References to high uncertainty in feedstock availability, CAPEX forecasts, or technology performance. If absent/vague: • Note any sections where data or verification statements should appear but do not. Assess: • The extent to which these uncertainties undermine the reliability of the investment analysis. • Whether the project provides any contingency plans or risk-mitigation strategies."
Additionality,Financial analysis,Revenue analysis,"What are the primary and secondary revenue streams of the project, and what proportion of total revenue does carbon finance represent?","Look for: • Any explicit breakdown of revenue sources (e.g., 80% from product sales, 20% from carbon credits). • Auditor statements or data tables detailing revenue splits. If absent/vague: • Seek indirect clues (e.g., references to “major revenue from sales of energy/products,” or “critical supplemental carbon revenue”). Assess: • Whether carbon finance is a small supplement or a major contributor. • The likelihood that the project would still proceed if carbon finance were minor or absent."
Additionality,Financial analysis,Revenue analysis,"Does the project document or estimate the revenue from carbon credits in relation to alternative revenue streams (e.g., energy sales, CO₂ utilization, concrete sales), and are these estimates consistent with market/industry benchmarks?","Look for: • Projections or actual figures for carbon credit prices and volumes sold. • Product sale prices (e.g., electricity, biochar, CO₂ feedstock) and whether these align with known market rates. If absent/vague: • Look for any high-level statements such as “carbon credits are sold at a premium” or “market demand for biochar is strong.” Assess: • The realism of stated revenue assumptions compared to recognized market data. • Whether carbon credit revenue estimates appear inflated or understated."
Additionality,Financial analysis,Revenue analysis,"Is carbon finance positioned as a critical enabler for the project’s financial viability, or is it portrayed as an incremental revenue stream?","Look for: • Auditor or project statements like “Project depends on carbon credit sales to be financially feasible” vs. “Carbon credits are a helpful bonus.” If absent/vague: • Note indirect signs (e.g., references to bridging funding gaps or mitigating operational losses). Assess: • Whether the project explicitly claims that it cannot proceed without carbon finance. • How strongly the documentation links carbon revenue to project continuation or expansion."
Additionality,Financial analysis,Revenue analysis,"Has the project accounted for all potential revenue sources (including philanthropic or equity financing, subsidies, or government incentives), and do they collectively reduce the reliance on carbon credits?","Look for: • Mention of philanthropic funds, equity financing, or grants. • Auditor summaries explaining how these funds affect overall project revenue. If absent/vague: • Watch for references to “multiple financing partners” or “public incentives.” Assess: • Whether alternative funding significantly diminishes the relevance of carbon finance. • If carbon revenue remains vital despite other streams, that supports the project’s claim of additionality."
Additionality,Financial analysis,Revenue analysis,Are any claims that carbon revenue constitutes the ‘majority’ (or a large share) of total revenue supported by verifiable data or auditor confirmation?,"Look for: • Data points, tables, or auditor notes confirming the percentage share of carbon finance vs. other revenue. • Any discrepancies between project statements and auditor’s findings. If absent/vague: • Look for qualitative language like “significant contribution,” “substantial portion,” or “overstated claim.” Assess: • Whether there is alignment between the project’s claim (e.g., “majority revenue from carbon credits”) and what the data/auditor actually show. • Any potential overstatement or understatement of carbon’s role in the revenue mix."
Additionality,Financial analysis,Revenue analysis,"Does the documentation (or auditor commentary) indicate that carbon finance directly influences decisions on project design, scale, or operational timelines?","Look for: • Statements linking carbon credit revenue to technology choices, capacity expansion, or operational timelines (e.g., “We scaled up capacity thanks to carbon revenues”). If absent/vague: • Seek mentions of intangible benefits like “carbon market signals” that encouraged project implementation. Assess: • Whether carbon revenue’s influence on project decisions supports an argument for additionality. • If the project would otherwise have been built at the same scale and timeline, carbon credits might be less critical."
Additionality,Financial analysis,Revenue analysis,"Are there any noted uncertainties or disclaimers regarding revenue estimates (e.g., future carbon prices, volatility in product demand) that may affect the project’s actual dependence on carbon finance?","Look for: • Auditor disclaimers or risk statements about fluctuating carbon credit prices, feedstock supply, or market demand for byproducts. • References to how these uncertainties could change the share of revenue from carbon credits vs. other sources. If absent/vague: • Check for broad statements like “future market conditions are unclear.” Assess: • Whether high volatility or unknown future conditions could alter the project’s reliance on carbon credits. • The presence of mitigating strategies or fallback plans, if any."
Additionality,Financial analysis,Benefit-sharing,"Does the project documentation describe a formal benefit-sharing mechanism (e.g., revenue allocation, community funds) for local stakeholders, and is it explicitly linked to carbon finance or external funding?","Look for: • Evidence of structured agreements (e.g., a dedicated fund or profit-sharing scheme) supported by carbon revenue or grants. If absent/vague: • Seek indirect references (e.g., “community benefits,” “smallholder incentives,” “improved local income”). Assess: • Whether the project claims that these benefits would be less feasible or not possible without external/carbon finance. • How explicitly carbon revenue supports or enables these benefits, linking it to additionality."
Additionality,Financial analysis,Benefit-sharing," Are the details of the benefit-sharing arrangement (e.g., eligibility, distribution criteria, timeline) clearly defined and communicated to local communities?",Look for: • Project documents or auditor confirmations that stakeholders understand how benefits are allocated. • Specific timelines for distributing revenues or in-kind support. If absent/vague: • Look for language about community outreach or “basic sharing plans.” Assess: • Whether the mechanism is sufficiently transparent and verifiable to ensure a fair distribution. • The clarity of this arrangement can affect local buy-in and long-term project viability (hence additionality).
Additionality,Financial analysis,Benefit-sharing,"Does the project documentation mention how benefit-sharing is financed over the project’s lifetime, and if it depends on ongoing carbon credit revenue or up-front external grants?","Look for: • References to dedicated budget lines or continuous funding streams earmarked for local benefits. • Auditor statements on whether these funds come from carbon revenues (pay-as-you-go) vs. one-time grants. If absent/vague: • Seek any broad mention of “forward payments” or “initial investments” that support benefit-sharing. Assess: • If the scheme is sustainable only with continuous carbon financing, it likely increases additionality. • If the scheme is fully funded by other sources, carbon finance’s role in additionality may be lower."
Additionality,Financial analysis,Benefit-sharing,"Is there evidence that local stakeholders were consulted (e.g., free, prior, and informed consent) and that grievance mechanisms or feedback channels exist to address concerns about benefit-sharing?","Look for: • Specific mentions of community consultations, public meetings, or stakeholder committees. • Existence of formal grievance processes or contact points. If absent/vague: • Look for indirect references to “community input,” “public hearings,” or “complaint logs.” Assess: • Whether local stakeholders had a meaningful role in shaping or agreeing to the benefit-sharing arrangement. • The strength of stakeholder involvement often correlates with the project’s legitimacy and thus additionality."
Additionality,Financial analysis,Benefit-sharing,"Does the project address how benefit-sharing contributes to the long-term sustainability (e.g., continued production or feedstock supply for biochar) and protection of the project area?","Look for: • Statements linking local incentives (e.g., ongoing revenue or training) to active stewardship or feedstock provision. • Auditor commentary on whether benefit-sharing is helping maintain project operations. If absent/vague: • Look for references to “community commitment” or “local buy-in” as a component of project resilience. Assess: • Whether these benefits encourage locals to continue supporting the project’s objectives, directly affecting its additionality over time."
Additionality,Financial analysis,Benefit-sharing,"Do the auditors or project documents mention any major constraints or barriers (e.g., legal, cultural, administrative) in establishing or implementing the benefit-sharing scheme, and how are they addressed?","Look for: • Auditor notes on potential barriers (e.g., lack of legal recognition for community groups, insufficient local capacity). • Project or third-party strategies to overcome these barriers. If absent/vague: • Seek indirect signals like “delays due to local regulations” or “challenges in coordinating multiple stakeholders.” Assess: • Whether these barriers undermine or delay the benefit-sharing arrangement. • How resolution of these issues affects the project’s financial viability and additionality claims."
Additionality,Activity analysis,Common practice analysis,Does the project documentation clearly describe the extent to which biochar production or similar carbon removal activities are already practiced in the target region without carbon finance?,"Look for: • Statements or data comparing the project’s biochar activities to existing, conventional practices. • Any mention of local or regional facilities using the same technology without carbon revenue. If absent/vague: • Seek indirect hints (e.g., “few facilities exist,” “nascent market,” or references to external reports). Assess: • Whether the project provides evidence that the biochar process is uncommon in the region. If no direct data is given, note any statements indicating rarity or novelty of the approach."
Additionality,Activity analysis,Common practice analysis,"Are there references to industry or market data, peer-reviewed studies, or government sources that confirm (or contradict) the project’s claim about the rarity or prevalence of this biochar technology?","Look for: • Citations of external databases, industry reports, or academic papers supporting how widespread (or not) biochar production is. If absent/vague: • Note any broad claims like “market is nascent” or “adoption is minimal,” and see if the auditor or project provides any source. Assess: • Whether the claims of uncommon practice are backed by verifiable references. • If contradictory data is found, question the project’s positioning regarding additionality."
Additionality,Activity analysis,Common practice analysis,Does the project compare its activities to similar initiatives (both with and without carbon finance) to establish a baseline or business-as-usual scenario?,"Look for: • Evidence of comparative analysis: “We identified X number of biochar projects without carbon funding in the region.” If absent/vague: • Check for statements like “no known similar projects” or “most similar projects rely on subsidies or are at small scale.” Assess: • If the project acknowledges competing or parallel non-carbon-funded projects, it must explain why these do not invalidate additionality. • Whether a clear baseline scenario is provided (i.e., no widespread adoption without carbon revenue)."
Additionality,Activity analysis,Common practice analysis,"Is the geographic scope for common practice assessment (e.g., local, regional, national) clearly defined, and is it appropriate for the project scale and technology?","Look for: • Project or auditor statements specifying the region or market segment used as a reference (e.g., “national data on biochar facilities”). If absent/vague: • Seek any clues about how far the project looked for comparators (e.g., “neighboring provinces,” “other countries,” etc.). Assess: • If the scope is too narrow or broad, the project’s claim of uncommon practice may be incomplete. • Ensure that the region chosen is relevant (e.g., focusing on a specific feedstock region vs. a large national average)."
Additionality,Activity analysis,Common practice analysis,"For ex-post projects, is there evidence that the claimed biochar activity was not commonly practiced at the time of the project’s start date, thus supporting its additionality?","Look for: • Historical data or references to project start year vs. adoption rates of similar technologies at that time. If absent/vague: • Look for statements like “this was the first project of its kind in the area” or “nobody was using pyrolysis for biochar before this.” Assess: • Ex-post data can be strong evidence if it shows that the practice was uncommon when the project began, even if it has grown since. • Confirm if the project can genuinely claim it was pioneering in its location at project inception."
